date;Ubat;Usol;temp;hum
2021-09-28 00:54:59;4116;3636;25.90;62.10
2021-09-28 00:56:05;4120;3640;25.80;62.40
2021-09-28 00:57:11;4118;3640;25.70;62.40
2021-09-28 00:58:17;4118;3638;25.70;62.70
2021-09-28 00:59:23;4118;3643;25.60;63.10
2021-09-28 01:00:29;4111;3643;25.50;63.20
2021-09-28 01:01:35;4122;3647;25.40;62.90
2021-09-28 01:02:41;4115;3645;25.40;62.90
2021-09-28 01:03:47;4116;3640;25.40;63.60
2021-09-28 01:04:53;4118;3647;25.30;63.10
2021-09-28 09:27:29;4116;2900;23.20;64.80
2021-09-28 09:28:37;4116;2810;23.30;65.90
2021-09-28 09:29:43;4102;2877;23.40;62.60
2021-09-28 09:30:49;4115;2868;23.40;61.70
2021-09-28 09:31:55;4115;2898;23.30;64.60
2021-09-28 09:33:01;4095;3055;23.20;67.00
2021-09-28 09:34:07;4116;3007;23.10;65.30
2021-09-28 09:35:13;4116;2986;23.10;64.10
2021-09-28 09:36:19;4118;3011;23.00;66.20
2021-09-28 09:37:25;4116;3144;23.10;66.90
2021-09-28 09:38:31;4116;3023;23.30;66.80
2021-09-28 09:39:37;4115;2928;23.30;67.80
2021-09-28 09:40:43;4076;3033;23.50;66.70
2021-09-28 09:41:49;4115;2895;23.60;66.70
2021-09-28 09:42:55;4115;2988;23.70;68.40
2021-09-28 09:44:01;4115;2986;23.80;65.40
2021-09-28 09:45:07;4113;2930;24.00;63.80
2021-09-28 09:46:13;4115;2787;24.00;64.20
2021-09-28 09:47:22;4113;2761;24.00;65.00
2021-09-28 09:48:28;4113;2798;24.10;65.00
2021-09-28 09:49:34;4115;2902;24.20;65.10
2021-09-28 09:50:40;4116;3121;24.30;62.70
2021-09-28 09:51:46;4115;3102;24.40;61.20
2021-09-28 09:52:52;4104;3297;24.30;60.50
2021-09-28 09:53:58;4115;3234;24.30;60.90
2021-09-28 09:55:04;4074;3269;24.30;61.30
2021-09-28 09:56:10;4115;3396;24.30;62.90
2021-09-28 09:57:19;4095;3322;24.30;61.20
2021-09-28 09:58:27;4113;3164;24.30;63.60
2021-09-28 09:59:33;4115;3102;24.30;63.60
2021-09-28 10:00:39;4115;3004;24.30;62.50
2021-09-28 10:01:45;4074;2765;24.30;63.30
2021-09-28 10:02:51;4113;2888;24.40;62.40
2021-09-28 10:03:57;4115;2893;24.30;63.50
2021-09-28 10:05:03;4086;3032;24.40;62.90
2021-09-28 10:06:09;4115;2986;24.40;61.60
2021-09-28 10:07:15;4111;2923;24.40;60.80
2021-09-28 10:08:21;4115;2998;24.40;61.20
2021-09-28 10:09:27;4113;3044;24.40;62.60
2021-09-28 10:10:33;4115;3127;24.40;61.40
2021-09-28 10:11:39;4111;3099;24.40;62.10
2021-09-28 10:12:45;4115;3195;24.30;59.50
2021-09-28 10:13:51;4115;3193;24.30;62.20
2021-09-28 10:14:57;4111;3229;24.20;58.90
2021-09-28 10:16:03;4113;3387;24.10;59.80
2021-09-28 10:17:12;4095;1965;24.00;59.60
2021-09-28 10:18:18;4079;3366;24.20;65.20
2021-09-28 10:19:24;4111;3367;24.30;64.00
2021-09-28 10:20:30;4111;3673;24.30;60.80
2021-09-28 10:21:36;4111;3513;24.30;60.70
2021-09-28 10:22:42;4074;3450;24.30;59.50
2021-09-28 10:23:51;4100;3628;24.30;59.20
2021-09-28 10:24:57;4111;3510;24.30;61.80
2021-09-28 10:26:03;4113;3534;24.30;62.50
2021-09-28 10:27:09;4113;3229;24.30;65.30
2021-09-28 10:28:15;4111;2925;24.40;59.90
2021-09-28 10:29:21;4113;3440;24.40;61.20
2021-09-28 10:30:27;4081;3603;24.50;61.20
2021-09-28 10:31:33;4109;3628;24.60;61.10
2021-09-28 10:32:39;4100;3483;24.70;61.00
2021-09-28 10:33:45;4109;3359;24.70;60.90
2021-09-28 10:34:51;4111;3424;24.70;60.90
2021-09-28 10:35:57;4111;3680;24.70;61.00
2021-09-28 10:37:03;4109;3717;24.70;61.10
2021-09-28 10:38:09;4078;3970;24.70;61.10
2021-09-28 10:39:15;4109;3879;24.60;61.10
2021-09-28 10:40:24;4100;3740;24.60;61.20
2021-09-28 10:41:30;4108;3738;24.50;61.30
2021-09-28 10:42:36;4109;3902;24.50;61.30
2021-09-28 10:43:42;4111;3949;24.50;61.30
2021-09-28 10:44:48;4109;4016;24.50;61.30
2021-09-28 10:45:54;4109;4046;24.50;61.30
2021-09-28 10:47:00;4111;3993;24.60;61.20
2021-09-28 10:48:06;4109;4187;24.60;61.10
2021-09-28 10:49:12;4108;4188;24.60;61.10
2021-09-28 10:50:18;4109;4197;24.60;61.10
2021-09-28 10:51:24;4111;4202;24.60;61.10
2021-09-28 10:52:32;4109;4183;24.60;61.10
2021-09-28 10:53:41;4109;4232;24.60;61.10
2021-09-28 10:54:47;4113;4187;24.60;61.00
2021-09-28 10:55:53;4111;4225;24.70;61.00
2021-09-28 10:56:59;4071;4166;24.70;60.90
2021-09-28 10:58:05;4108;4275;24.70;60.70
2021-09-28 10:59:11;4088;4262;24.70;60.80
2021-09-28 11:00:17;4109;4231;24.70;60.90
2021-09-28 11:01:23;4111;4248;24.60;60.90
2021-09-28 11:02:29;4090;4216;24.60;61.00
2021-09-28 11:03:35;4109;4222;24.60;61.00
2021-09-28 11:04:41;4111;4303;24.60;61.00
2021-09-28 11:05:47;4108;4296;24.60;61.00
2021-09-28 11:06:53;4069;4216;24.60;61.10
2021-09-28 11:07:59;4108;4253;24.50;61.10
2021-09-28 11:09:05;4108;4267;24.40;61.30
2021-09-28 11:10:11;4108;3870;24.40;61.40
2021-09-28 11:11:17;4109;4187;24.40;61.70
2021-09-28 11:12:23;4109;3350;24.90;60.90
2021-09-28 11:13:29;4083;3174;24.90;60.80
2021-09-28 11:46:31;4050;4480;22.50;64.20
2021-09-28 11:47:39;4078;1235;22.20;64.30
2021-09-28 11:50:02;4079;4158;22.00;65.00
2021-09-28 11:51:08;4078;4160;22.00;64.90
2021-09-28 11:52:16;4069;4125;22.00;64.50
2021-09-28 11:53:22;4078;4174;22.00;63.70
2021-09-28 11:54:31;4050;4157;22.00;63.40
2021-09-28 11:55:37;4079;4232;22.00;63.30
2021-09-28 11:56:43;4079;4232;22.00;63.00
2021-09-28 11:57:52;4079;4171;22.00;62.70
2021-09-28 11:59:00;4058;4148;22.00;62.40
2021-09-28 12:00:09;4079;4178;21.90;61.80
2021-09-28 12:01:18;4079;4158;21.90;61.80
2021-09-28 12:02:27;4053;4146;21.90;61.60
2021-09-28 12:03:35;4078;4157;21.80;61.40
2021-09-28 12:04:41;4078;4204;21.70;61.20
2021-09-28 12:05:47;4074;4174;21.60;61.10
2021-09-28 12:06:53;4078;4178;21.50;61.00
2021-09-28 12:08:02;4078;4166;21.40;61.00
2021-09-28 12:09:08;4078;4157;21.30;61.00
2021-09-28 12:10:35;4039;4120;21.20;60.90
2021-09-28 12:11:41;4041;4477;21.00;61.70
2021-09-28 12:12:47;4086;4496;21.10;61.80
2021-09-28 12:13:53;4090;4496;21.10;61.80
2021-09-28 12:14:59;4088;4496;21.10;63.20
2021-09-28 12:16:05;4088;4496;21.10;63.20
2021-09-28 12:17:11;4097;4501;21.20;63.70
2021-09-28 12:18:17;4095;4498;21.40;64.30
2021-09-28 12:19:23;4097;4500;21.40;64.30
2021-09-28 12:20:32;4109;4508;21.60;64.60
2021-09-28 12:21:52;4079;1828;21.70;64.70
2021-09-28 12:23:57;4048;4496;22.00;64.30
2021-09-28 12:25:03;4078;3814;23.10;63.20
2021-09-28 12:26:09;4079;3960;23.20;62.90
2021-09-28 12:27:15;4079;3656;23.30;62.70
2021-09-28 12:28:21;4078;3197;23.40;62.40
2021-09-28 12:29:27;4078;3076;23.50;62.10
2021-09-28 12:30:36;4041;3642;23.60;61.80
2021-09-28 12:31:42;4079;2991;23.70;61.50
2021-09-28 12:32:48;4078;3659;23.80;61.30
2021-09-28 12:33:54;4078;3285;23.90;61.20
2021-09-28 12:35:00;4079;3434;24.00;61.10
2021-09-28 12:36:06;4078;2773;24.00;61.00
2021-09-28 12:37:12;4078;3055;24.00;60.90
2021-09-28 12:38:18;4079;2870;24.00;60.80
2021-09-28 12:39:26;4078;4229;24.10;60.80
2021-09-28 12:40:32;4078;4257;24.20;60.80
2021-09-28 12:41:38;4078;4262;24.20;60.80
2021-09-28 12:42:44;4079;4199;24.40;60.60
2021-09-28 12:43:50;4078;4252;24.40;60.60
2021-09-28 12:44:56;4078;4276;24.50;60.60
2021-09-28 12:46:02;4050;4123;24.60;60.70
2021-09-28 12:47:08;4078;4306;24.70;62.00
2021-09-28 12:48:14;4078;4310;24.90;62.30
2021-09-28 13:16:35;0;5526;25.10;61.30
2021-09-28 13:17:08;0;5559;25.10;61.00
2021-09-28 13:17:36;0;5577;25.10;59.60
2021-09-28 13:18:39;0;5572;25.20;59.50
2021-09-28 13:18:56;0;5545;25.20;60.00
2021-09-28 13:20:01;0;5540;25.30;59.80
2021-09-28 13:21:04;0;5591;25.30;59.20
2021-09-28 13:22:08;0;5603;25.50;57.50
2021-09-28 13:23:12;0;5614;25.50;58.30
2021-09-28 13:24:12;0;5568;25.60;58.70
2021-09-28 13:24:58;0;5588;25.60;58.70
2021-09-28 13:25:16;0;5575;25.70;58.60
2021-09-28 13:26:20;0;5561;25.70;58.60
2021-09-28 13:27:25;0;5617;25.70;58.00
2021-09-28 13:28:29;0;5654;25.80;57.90
2021-09-28 13:29:39;0;5679;25.80;57.50
2021-09-28 13:30:43;0;5690;25.90;57.50
2021-09-28 13:31:47;0;5695;26.00;56.80
2021-09-28 13:32:21;0;5700;26.10;57.30
2021-09-28 13:32:40;0;5695;26.10;56.10
2021-09-28 13:32:55;0;5702;26.10;56.80
2021-09-28 13:33:07;0;5702;26.10;57.30
2021-09-28 13:34:11;0;5707;26.10;56.30
2021-09-28 13:35:14;0;5698;26.20;56.30
2021-09-28 13:36:18;0;5711;26.20;55.90
2021-09-28 13:37:22;0;5741;26.20;56.00
2021-09-28 13:38:26;0;5755;26.30;54.90
2021-09-28 13:39:30;0;5763;26.30;55.90
2021-09-28 13:40:33;0;5767;26.40;56.80
2021-09-28 13:41:37;0;5758;26.30;56.80
2021-09-28 13:42:44;0;5758;26.20;56.50
2021-09-28 13:42:52;0;5765;26.20;57.00
2021-09-28 13:42:57;0;5755;26.20;56.90
2021-09-28 13:43:04;0;5765;26.20;57.80
2021-09-28 13:43:16;0;5765;26.20;57.70
2021-09-28 13:44:20;0;5776;26.30;56.40
2021-09-28 13:45:25;0;5779;26.30;56.10
2021-09-28 13:46:29;0;5772;26.30;56.40
2021-09-28 13:47:33;0;5770;26.40;55.90
2021-09-28 13:48:37;0;5772;26.40;55.60
2021-09-28 13:49:40;0;5769;26.40;55.50
2021-09-28 13:50:44;0;5763;26.40;55.30
2021-09-28 13:51:49;0;5762;26.40;55.70
2021-09-28 13:52:52;0;5751;26.40;55.60
2021-09-28 13:53:56;0;5735;26.40;55.90
2021-09-28 13:55:03;0;5681;26.40;56.50
2021-09-28 13:56:10;0;5528;26.30;55.40
2021-09-28 13:57:14;0;5447;26.40;55.60
2021-09-28 13:58:21;0;5375;26.30;56.00
2021-09-28 13:59:25;0;5421;26.20;54.80
2021-09-28 14:00:29;0;5445;26.20;55.30
2021-09-28 14:01:32;0;5472;26.20;54.70
2021-09-28 14:02:36;0;5426;26.20;55.30
2021-09-28 14:03:43;0;5538;26.10;54.60
2021-09-28 14:04:47;0;5653;26.10;54.90
2021-09-28 14:05:50;0;5698;26.10;55.70
2021-09-28 14:06:54;0;5716;26.10;55.70
2021-09-28 14:07:58;0;5755;26.10;55.50
2021-09-28 14:09:02;0;5702;26.10;55.80
2021-09-28 14:10:06;0;5623;26.10;55.60
2021-09-28 14:11:10;0;5681;26.10;55.30
2021-09-28 14:12:13;0;5730;26.00;55.70
2021-09-28 14:13:17;0;5753;26.00;55.60
2021-09-28 14:14:21;0;5758;26.00;55.50
2021-09-28 14:15:28;0;5744;26.00;54.90
2021-09-28 14:16:32;0;5762;26.00;55.10
2021-09-28 14:17:38;0;5741;25.90;55.60
2021-09-28 14:18:42;0;5735;25.90;56.00
2021-09-28 14:19:46;0;5711;25.90;55.90
2021-09-28 14:20:50;0;5711;25.90;56.00
2021-09-28 14:21:54;0;5748;25.90;56.20
2021-09-28 14:22:58;0;5769;25.90;55.90
2021-09-28 14:24:02;0;5392;25.90;53.80
2021-09-28 14:25:06;0;5319;25.80;55.70
2021-09-28 14:26:09;0;5206;25.80;55.30
2021-09-28 14:27:13;0;5169;25.80;55.90
2021-09-28 14:28:17;0;5090;25.80;55.60
2021-09-28 14:29:21;0;5034;25.70;55.60
2021-09-28 14:30:25;0;4978;25.70;55.60
2021-09-28 14:31:29;0;4948;25.70;56.00
2021-09-28 14:32:33;0;4965;25.60;56.60
2021-09-28 14:33:40;0;5058;25.60;56.60
2021-09-28 14:34:44;0;5102;25.60;56.00
2021-09-28 14:35:48;0;5085;25.60;54.80
2021-09-28 14:36:54;0;5041;25.50;56.80
2021-09-28 14:37:58;0;5043;25.50;55.80
2021-09-28 14:39:02;0;5071;25.50;55.20
2021-09-28 14:40:06;0;5102;25.50;55.20
2021-09-28 14:41:12;0;5196;25.40;55.70
2021-09-28 14:42:16;0;5162;25.40;55.70
2021-09-28 14:43:20;0;5099;25.40;55.10
2021-09-28 14:44:24;0;5150;25.40;55.20
2021-09-28 14:45:28;0;5118;25.40;55.30
2021-09-28 14:46:32;0;5062;25.30;55.70
2021-09-28 14:47:35;0;5030;25.30;56.20
2021-09-28 14:48:40;0;5000;25.30;55.60
2021-09-28 14:49:44;0;4988;25.40;55.70
2021-09-28 14:50:48;0;5037;25.30;56.20
2021-09-28 14:51:54;0;5087;25.30;57.50
2021-09-28 14:52:58;0;5201;25.30;56.90
2021-09-28 14:54:02;0;5173;25.30;58.10
2021-09-28 14:55:06;0;5064;25.30;58.10
2021-09-28 14:56:10;0;5203;25.30;57.20
2021-09-28 14:57:13;0;5329;25.40;58.90
2021-09-28 14:58:17;0;5426;25.40;59.20
2021-09-28 14:59:21;0;5466;25.40;59.20
2021-09-28 15:00:25;0;5475;25.40;57.60
2021-09-28 15:01:29;0;5479;25.40;58.70
2021-09-28 15:02:33;0;5465;25.40;58.80
2021-09-28 15:03:36;0;5456;25.40;57.50
2021-09-28 15:04:40;0;5424;25.50;56.40
2021-09-28 15:05:44;0;5424;25.40;56.90
2021-09-28 15:06:48;0;5364;25.40;58.00
2021-09-28 15:07:52;0;5336;25.40;57.10
2021-09-28 15:08:56;0;5305;25.40;56.40
2021-09-28 15:09:59;0;5278;25.40;56.70
2021-09-28 15:11:03;0;5240;25.50;56.90
2021-09-28 15:12:07;0;5088;25.50;56.50
2021-09-28 15:13:11;0;4962;25.50;56.30
2021-09-28 15:14:17;0;4828;25.60;57.00
2021-09-28 15:15:21;0;4733;25.60;57.20
2021-09-28 15:16:11;0;4714;25.60;57.20
2021-09-28 15:16:29;0;4666;25.60;57.30
2021-09-28 15:16:39;0;4848;25.60;57.30
2021-09-28 15:17:35;0;4867;25.60;56.00
2021-09-28 15:17:42;0;4971;25.60;57.20
2021-09-28 15:17:55;0;5009;25.60;57.90
2021-09-28 15:18:59;0;5108;25.60;58.20
2021-09-28 15:20:03;0;4974;25.60;57.00
